seed,order_id,task_order,method,memory_budget,method_cell,status,ewc_lambda,selected_ewc_lambda,epochs,batch_size,optimizer_steps_total,optimizer_steps_per_task,processed_examples_total,processed_examples_per_task,fisher_method,fisher_sample_counts_per_anchor,A_after_mean,A_after_median,A_after_min,A_after_le_0_001_count,final_average_accuracy,average_forgetting,elapsed_seconds,device,task_0_final_accuracy,task_1_final_accuracy,task_2_final_accuracy,task_3_final_accuracy,task_4_final_accuracy
1,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,500.0,500.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9882,0.993,0.977,0,0.1954,0.991,3.503,cuda:0,0.0,0.0,0.0,0.0,0.977
1,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,1.0,1.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9894000000000001,0.995,0.977,0,0.199,0.988,3.523,cuda:0,0.0,0.0,0.0,0.995,0.0
1,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,5.0,5.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9902,0.995,0.977,0,0.199,0.989,3.444,cuda:0,0.0,0.0,0.0,0.995,0.0
1,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,10.0,10.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9904,0.994,0.977,0,0.1988,0.9895,3.517,cuda:0,0.0,0.0,0.0,0.994,0.0
1,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,25.0,25.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.99,0.993,0.977,0,0.1986,0.98925,3.498,cuda:0,0.0,0.0,0.0,0.993,0.0
1,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,50.0,50.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9898,0.992,0.977,0,0.1984,0.98925,3.489,cuda:0,0.0,0.0,0.0,0.992,0.0
1,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,100.0,100.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9902000000000001,0.996,0.977,0,0.1992,0.98875,3.505,cuda:0,0.0,0.0,0.0,0.996,0.0
1,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,500.0,500.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9874,0.993,0.973,0,0.2004,0.9837499999999999,3.461,cuda:0,0.0,0.0,0.005,0.993,0.004
1,shuffle_2,2-3-0-4-1,ewc,0,ewc,PASS,1.0,1.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9865999999999999,0.992,0.973,0,0.1946,0.99,3.461,cuda:0,0.0,0.973,0.0,0.0,0.0
1,shuffle_2,2-3-0-4-1,ewc,0,ewc,PASS,5.0,5.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9864,0.992,0.972,0,0.1944,0.99,3.468,cuda:0,0.0,0.972,0.0,0.0,0.0
1,shuffle_2,2-3-0-4-1,ewc,0,ewc,PASS,10.0,10.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9856,0.992,0.968,0,0.1936,0.99,3.463,cuda:0,0.0,0.968,0.0,0.0,0.0
1,shuffle_2,2-3-0-4-1,ewc,0,ewc,PASS,25.0,25.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9862,0.992,0.971,0,0.19419999999999998,0.99,3.449,cuda:0,0.0,0.971,0.0,0.0,0.0
1,shuffle_2,2-3-0-4-1,ewc,0,ewc,PASS,50.0,50.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9863999999999999,0.992,0.97,0,0.194,0.9905,3.463,cuda:0,0.0,0.97,0.0,0.0,0.0
1,shuffle_2,2-3-0-4-1,ewc,0,ewc,PASS,100.0,100.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9879999999999999,0.992,0.976,0,0.19519999999999998,0.991,3.494,cuda:0,0.0,0.976,0.0,0.0,0.0
1,shuffle_2,2-3-0-4-1,ewc,0,ewc,PASS,500.0,500.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9892,0.993,0.979,0,0.1958,0.9917499999999999,3.55,cuda:0,0.0,0.979,0.0,0.0,0.0
1,shuffle_3,1-2-0-3-4,ewc,0,ewc,PASS,1.0,1.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9875999999999999,0.993,0.975,0,0.195,0.9907499999999999,3.535,cuda:0,0.0,0.0,0.0,0.0,0.975
1,shuffle_3,1-2-0-3-4,ewc,0,ewc,PASS,5.0,5.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9880000000000001,0.993,0.977,0,0.1954,0.9907499999999999,3.56,cuda:0,0.0,0.0,0.0,0.0,0.977
1,shuffle_3,1-2-0-3-4,ewc,0,ewc,PASS,10.0,10.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9890000000000001,0.993,0.977,0,0.1964,0.9907499999999999,3.516,cuda:0,0.0,0.0,0.0,0.0,0.982
1,shuffle_3,1-2-0-3-4,ewc,0,ewc,PASS,25.0,25.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9898000000000001,0.994,0.977,0,0.197,0.9909999999999999,3.507,cuda:0,0.0,0.0,0.0,0.0,0.985
1,shuffle_3,1-2-0-3-4,ewc,0,ewc,PASS,50.0,50.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9896,0.994,0.977,0,0.1968,0.9909999999999999,3.5,cuda:0,0.0,0.0,0.0,0.0,0.984
1,shuffle_3,1-2-0-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9905999999999999,0.994,0.977,0,0.1976,0.99125,3.483,cuda:0,0.0,0.0,0.0,0.0,0.988
1,shuffle_3,1-2-0-3-4,ewc,0,ewc,PASS,500.0,500.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9898,0.994,0.977,0,0.1966,0.9914999999999999,3.432,cuda:0,0.0,0.0,0.0,0.0,0.983
