seed,order_id,task_order,method,memory_budget,method_cell,status,ewc_lambda,selected_ewc_lambda,task_id,task_position,A_after,A_final,BWT,forgetting,optimizer_steps,epochs,batch_size,current_examples,replay_examples,train_examples_total,processed_examples
1,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,100.0,100.0,0,1,1.0,0.0,-1.0,1.0,160,10,128,2000,0,2000,20000
1,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,100.0,100.0,2,2,0.996,0.0,-0.996,0.996,160,10,128,2000,0,2000,20000
1,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,100.0,100.0,4,3,0.982,0.0,-0.982,0.982,160,10,128,2000,0,2000,20000
1,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,100.0,100.0,3,4,0.996,0.996,0.0,0.0,160,10,128,2000,0,2000,20000
1,shuffle_2,2-3-0-4-1,no_replay,0,no_replay,PASS,0.0,0.0,2,0,0.993,0.0,-0.993,0.993,160,10,128,2000,0,2000,20000
1,shuffle_2,2-3-0-4-1,no_replay,0,no_replay,PASS,0.0,0.0,3,1,0.992,0.0,-0.992,0.992,160,10,128,2000,0,2000,20000
1,shuffle_2,2-3-0-4-1,no_replay,0,no_replay,PASS,0.0,0.0,0,2,0.999,0.0,-0.999,0.999,160,10,128,2000,0,2000,20000
1,shuffle_2,2-3-0-4-1,no_replay,0,no_replay,PASS,0.0,0.0,4,3,0.976,0.0,-0.976,0.976,160,10,128,2000,0,2000,20000
1,shuffle_2,2-3-0-4-1,no_replay,0,no_replay,PASS,0.0,0.0,1,4,0.97,0.97,0.0,0.0,160,10,128,2000,0,2000,20000
1,shuffle_2,2-3-0-4-1,experience_replay,100,er100,PASS,0.0,0.0,2,0,0.993,0.0,-0.993,0.993,160,10,128,2000,0,2000,20000
1,shuffle_2,2-3-0-4-1,experience_replay,100,er100,PASS,0.0,0.0,3,1,0.988,0.0,-0.988,0.988,170,10,128,2000,100,2100,21000
1,shuffle_2,2-3-0-4-1,experience_replay,100,er100,PASS,0.0,0.0,0,2,0.998,0.241,-0.757,0.757,170,10,128,2000,100,2100,21000
1,shuffle_2,2-3-0-4-1,experience_replay,100,er100,PASS,0.0,0.0,4,3,0.98,0.672,-0.30799999999999994,0.30799999999999994,170,10,128,2000,100,2100,21000
1,shuffle_2,2-3-0-4-1,experience_replay,100,er100,PASS,0.0,0.0,1,4,0.955,0.955,0.0,0.0,170,10,128,2000,100,2100,21000
1,shuffle_2,2-3-0-4-1,experience_replay,500,er500,PASS,0.0,0.0,2,0,0.993,0.04,-0.953,0.953,160,10,128,2000,0,2000,20000
1,shuffle_2,2-3-0-4-1,experience_replay,500,er500,PASS,0.0,0.0,3,1,0.981,0.303,-0.6779999999999999,0.6779999999999999,200,10,128,2000,500,2500,25000
1,shuffle_2,2-3-0-4-1,experience_replay,500,er500,PASS,0.0,0.0,0,2,0.996,0.924,-0.07199999999999995,0.07199999999999995,200,10,128,2000,500,2500,25000
1,shuffle_2,2-3-0-4-1,experience_replay,500,er500,PASS,0.0,0.0,4,3,0.975,0.911,-0.06399999999999995,0.06399999999999995,200,10,128,2000,500,2500,25000
1,shuffle_2,2-3-0-4-1,experience_replay,500,er500,PASS,0.0,0.0,1,4,0.967,0.967,0.0,0.0,200,10,128,2000,500,2500,25000
1,shuffle_2,2-3-0-4-1,ewc,0,ewc,PASS,100.0,100.0,2,0,0.993,0.0,-0.993,0.993,160,10,128,2000,0,2000,20000
1,shuffle_2,2-3-0-4-1,ewc,0,ewc,PASS,100.0,100.0,3,1,0.992,0.0,-0.992,0.992,160,10,128,2000,0,2000,20000
1,shuffle_2,2-3-0-4-1,ewc,0,ewc,PASS,100.0,100.0,0,2,1.0,0.0,-1.0,1.0,160,10,128,2000,0,2000,20000
1,shuffle_2,2-3-0-4-1,ewc,0,ewc,PASS,100.0,100.0,4,3,0.979,0.0,-0.979,0.979,160,10,128,2000,0,2000,20000
1,shuffle_2,2-3-0-4-1,ewc,0,ewc,PASS,100.0,100.0,1,4,0.976,0.976,0.0,0.0,160,10,128,2000,0,2000,20000
1,shuffle_3,1-2-0-3-4,no_replay,0,no_replay,PASS,0.0,0.0,1,0,0.977,0.0,-0.977,0.977,160,10,128,2000,0,2000,20000
1,shuffle_3,1-2-0-3-4,no_replay,0,no_replay,PASS,0.0,0.0,2,1,0.994,0.0,-0.994,0.994,160,10,128,2000,0,2000,20000
1,shuffle_3,1-2-0-3-4,no_replay,0,no_replay,PASS,0.0,0.0,0,2,0.999,0.0,-0.999,0.999,160,10,128,2000,0,2000,20000
1,shuffle_3,1-2-0-3-4,no_replay,0,no_replay,PASS,0.0,0.0,3,3,0.993,0.0,-0.993,0.993,160,10,128,2000,0,2000,20000
1,shuffle_3,1-2-0-3-4,no_replay,0,no_replay,PASS,0.0,0.0,4,4,0.974,0.974,0.0,0.0,160,10,128,2000,0,2000,20000
1,shuffle_3,1-2-0-3-4,experience_replay,100,er100,PASS,0.0,0.0,1,0,0.977,0.0,-0.977,0.977,160,10,128,2000,0,2000,20000
1,shuffle_3,1-2-0-3-4,experience_replay,100,er100,PASS,0.0,0.0,2,1,0.991,0.0,-0.991,0.991,170,10,128,2000,100,2100,21000
1,shuffle_3,1-2-0-3-4,experience_replay,100,er100,PASS,0.0,0.0,0,2,0.999,0.0,-0.999,0.999,170,10,128,2000,100,2100,21000
1,shuffle_3,1-2-0-3-4,experience_replay,100,er100,PASS,0.0,0.0,3,3,0.99,0.667,-0.32299999999999995,0.32299999999999995,170,10,128,2000,100,2100,21000
1,shuffle_3,1-2-0-3-4,experience_replay,100,er100,PASS,0.0,0.0,4,4,0.971,0.971,0.0,0.0,170,10,128,2000,100,2100,21000
1,shuffle_3,1-2-0-3-4,experience_replay,500,er500,PASS,0.0,0.0,1,0,0.977,0.004,-0.973,0.973,160,10,128,2000,0,2000,20000
1,shuffle_3,1-2-0-3-4,experience_replay,500,er500,PASS,0.0,0.0,2,1,0.984,0.0,-0.984,0.984,200,10,128,2000,500,2500,25000
1,shuffle_3,1-2-0-3-4,experience_replay,500,er500,PASS,0.0,0.0,0,2,0.993,0.858,-0.135,0.135,200,10,128,2000,500,2500,25000
1,shuffle_3,1-2-0-3-4,experience_replay,500,er500,PASS,0.0,0.0,3,3,0.981,0.91,-0.07099999999999995,0.07099999999999995,200,10,128,2000,500,2500,25000
1,shuffle_3,1-2-0-3-4,experience_replay,500,er500,PASS,0.0,0.0,4,4,0.969,0.969,0.0,0.0,200,10,128,2000,500,2500,25000
1,shuffle_3,1-2-0-3-4,ewc,0,ewc,PASS,100.0,100.0,1,0,0.977,0.0,-0.977,0.977,160,10,128,2000,0,2000,20000
1,shuffle_3,1-2-0-3-4,ewc,0,ewc,PASS,100.0,100.0,2,1,0.995,0.0,-0.995,0.995,160,10,128,2000,0,2000,20000
1,shuffle_3,1-2-0-3-4,ewc,0,ewc,PASS,100.0,100.0,0,2,0.999,0.0,-0.999,0.999,160,10,128,2000,0,2000,20000
1,shuffle_3,1-2-0-3-4,ewc,0,ewc,PASS,100.0,100.0,3,3,0.994,0.0,-0.994,0.994,160,10,128,2000,0,2000,20000
1,shuffle_3,1-2-0-3-4,ewc,0,ewc,PASS,100.0,100.0,4,4,0.988,0.988,0.0,0.0,160,10,128,2000,0,2000,20000
2,canonical,0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,0,0,0.999,0.0,-0.999,0.999,160,10,128,2000,0,2000,20000
2,canonical,0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,1,1,0.974,0.0,-0.974,0.974,160,10,128,2000,0,2000,20000
2,canonical,0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,2,2,0.992,0.0,-0.992,0.992,160,10,128,2000,0,2000,20000
2,canonical,0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,3,3,0.993,0.0,-0.993,0.993,160,10,128,2000,0,2000,20000
2,canonical,0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,4,4,0.981,0.981,0.0,0.0,160,10,128,2000,0,2000,20000
2,canonical,0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,0,0,0.999,0.0,-0.999,0.999,160,10,128,2000,0,2000,20000
2,canonical,0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,1,1,0.965,0.0,-0.965,0.965,170,10,128,2000,100,2100,21000
2,canonical,0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,2,2,0.994,0.0,-0.994,0.994,170,10,128,2000,100,2100,21000
2,canonical,0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,3,3,0.988,0.588,-0.4,0.4,170,10,128,2000,100,2100,21000
2,canonical,0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,4,4,0.972,0.972,0.0,0.0,170,10,128,2000,100,2100,21000
2,canonical,0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,0,0,0.999,0.185,-0.8140000000000001,0.8140000000000001,160,10,128,2000,0,2000,20000
2,canonical,0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,1,1,0.977,0.12,-0.857,0.857,200,10,128,2000,500,2500,25000
2,canonical,0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,2,2,0.986,0.301,-0.685,0.685,200,10,128,2000,500,2500,25000
2,canonical,0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,3,3,0.981,0.881,-0.09999999999999998,0.09999999999999998,200,10,128,2000,500,2500,25000
2,canonical,0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,4,4,0.978,0.978,0.0,0.0,200,10,128,2000,500,2500,25000
2,canonical,0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,0,0,0.999,0.0,-0.999,0.999,160,10,128,2000,0,2000,20000
2,canonical,0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,1,1,0.974,0.0,-0.974,0.974,160,10,128,2000,0,2000,20000
2,canonical,0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,2,2,0.993,0.0,-0.993,0.993,160,10,128,2000,0,2000,20000
2,canonical,0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,3,3,0.993,0.0,-0.993,0.993,160,10,128,2000,0,2000,20000
2,canonical,0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,4,4,0.979,0.979,0.0,0.0,160,10,128,2000,0,2000,20000
2,shuffle_0,2-3-1-0-4,no_replay,0,no_replay,PASS,0.0,0.0,2,0,0.995,0.0,-0.995,0.995,160,10,128,2000,0,2000,20000
2,shuffle_0,2-3-1-0-4,no_replay,0,no_replay,PASS,0.0,0.0,3,1,0.994,0.0,-0.994,0.994,160,10,128,2000,0,2000,20000
2,shuffle_0,2-3-1-0-4,no_replay,0,no_replay,PASS,0.0,0.0,1,2,0.968,0.0,-0.968,0.968,160,10,128,2000,0,2000,20000
2,shuffle_0,2-3-1-0-4,no_replay,0,no_replay,PASS,0.0,0.0,0,3,1.0,0.0,-1.0,1.0,160,10,128,2000,0,2000,20000
2,shuffle_0,2-3-1-0-4,no_replay,0,no_replay,PASS,0.0,0.0,4,4,0.978,0.978,0.0,0.0,160,10,128,2000,0,2000,20000
2,shuffle_0,2-3-1-0-4,experience_replay,100,er100,PASS,0.0,0.0,2,0,0.995,0.0,-0.995,0.995,160,10,128,2000,0,2000,20000
2,shuffle_0,2-3-1-0-4,experience_replay,100,er100,PASS,0.0,0.0,3,1,0.984,0.0,-0.984,0.984,170,10,128,2000,100,2100,21000
2,shuffle_0,2-3-1-0-4,experience_replay,100,er100,PASS,0.0,0.0,1,2,0.973,0.0,-0.973,0.973,170,10,128,2000,100,2100,21000
2,shuffle_0,2-3-1-0-4,experience_replay,100,er100,PASS,0.0,0.0,0,3,0.997,0.8,-0.19699999999999995,0.19699999999999995,170,10,128,2000,100,2100,21000
2,shuffle_0,2-3-1-0-4,experience_replay,100,er100,PASS,0.0,0.0,4,4,0.975,0.975,0.0,0.0,170,10,128,2000,100,2100,21000
2,shuffle_0,2-3-1-0-4,experience_replay,500,er500,PASS,0.0,0.0,2,0,0.995,0.0,-0.995,0.995,160,10,128,2000,0,2000,20000
2,shuffle_0,2-3-1-0-4,experience_replay,500,er500,PASS,0.0,0.0,3,1,0.979,0.458,-0.5209999999999999,0.5209999999999999,200,10,128,2000,500,2500,25000
2,shuffle_0,2-3-1-0-4,experience_replay,500,er500,PASS,0.0,0.0,1,2,0.963,0.633,-0.32999999999999996,0.32999999999999996,200,10,128,2000,500,2500,25000
2,shuffle_0,2-3-1-0-4,experience_replay,500,er500,PASS,0.0,0.0,0,3,0.996,0.961,-0.03500000000000003,0.03500000000000003,200,10,128,2000,500,2500,25000
2,shuffle_0,2-3-1-0-4,experience_replay,500,er500,PASS,0.0,0.0,4,4,0.967,0.967,0.0,0.0,200,10,128,2000,500,2500,25000
2,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,100.0,100.0,2,0,0.995,0.0,-0.995,0.995,160,10,128,2000,0,2000,20000
2,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,100.0,100.0,3,1,0.994,0.0,-0.994,0.994,160,10,128,2000,0,2000,20000
2,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,100.0,100.0,1,2,0.968,0.0,-0.968,0.968,160,10,128,2000,0,2000,20000
2,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,100.0,100.0,0,3,1.0,0.0,-1.0,1.0,160,10,128,2000,0,2000,20000
2,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,100.0,100.0,4,4,0.978,0.978,0.0,0.0,160,10,128,2000,0,2000,20000
2,shuffle_1,1-0-2-4-3,no_replay,0,no_replay,PASS,0.0,0.0,1,0,0.973,0.0,-0.973,0.973,160,10,128,2000,0,2000,20000
2,shuffle_1,1-0-2-4-3,no_replay,0,no_replay,PASS,0.0,0.0,0,1,1.0,0.0,-1.0,1.0,160,10,128,2000,0,2000,20000
2,shuffle_1,1-0-2-4-3,no_replay,0,no_replay,PASS,0.0,0.0,2,2,0.994,0.0,-0.994,0.994,160,10,128,2000,0,2000,20000
2,shuffle_1,1-0-2-4-3,no_replay,0,no_replay,PASS,0.0,0.0,4,3,0.978,0.0,-0.978,0.978,160,10,128,2000,0,2000,20000
2,shuffle_1,1-0-2-4-3,no_replay,0,no_replay,PASS,0.0,0.0,3,4,0.993,0.993,0.0,0.0,160,10,128,2000,0,2000,20000
2,shuffle_1,1-0-2-4-3,experience_replay,100,er100,PASS,0.0,0.0,1,0,0.973,0.0,-0.973,0.973,160,10,128,2000,0,2000,20000
2,shuffle_1,1-0-2-4-3,experience_replay,100,er100,PASS,0.0,0.0,0,1,0.998,0.0,-0.998,0.998,170,10,128,2000,100,2100,21000
2,shuffle_1,1-0-2-4-3,experience_replay,100,er100,PASS,0.0,0.0,2,2,0.994,0.0,-0.994,0.994,170,10,128,2000,100,2100,21000
2,shuffle_1,1-0-2-4-3,experience_replay,100,er100,PASS,0.0,0.0,4,3,0.978,0.338,-0.6399999999999999,0.6399999999999999,170,10,128,2000,100,2100,21000
2,shuffle_1,1-0-2-4-3,experience_replay,100,er100,PASS,0.0,0.0,3,4,0.985,0.985,0.0,0.0,170,10,128,2000,100,2100,21000
2,shuffle_1,1-0-2-4-3,experience_replay,500,er500,PASS,0.0,0.0,1,0,0.973,0.0,-0.973,0.973,160,10,128,2000,0,2000,20000
2,shuffle_1,1-0-2-4-3,experience_replay,500,er500,PASS,0.0,0.0,0,1,0.998,0.662,-0.33599999999999997,0.33599999999999997,200,10,128,2000,500,2500,25000
2,shuffle_1,1-0-2-4-3,experience_replay,500,er500,PASS,0.0,0.0,2,2,0.989,0.554,-0.43499999999999994,0.43499999999999994,200,10,128,2000,500,2500,25000
2,shuffle_1,1-0-2-4-3,experience_replay,500,er500,PASS,0.0,0.0,4,3,0.958,0.897,-0.06099999999999994,0.06099999999999994,200,10,128,2000,500,2500,25000
2,shuffle_1,1-0-2-4-3,experience_replay,500,er500,PASS,0.0,0.0,3,4,0.972,0.972,0.0,0.0,200,10,128,2000,500,2500,25000
2,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,100.0,100.0,1,0,0.973,0.0,-0.973,0.973,160,10,128,2000,0,2000,20000
2,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,100.0,100.0,0,1,0.999,0.0,-0.999,0.999,160,10,128,2000,0,2000,20000
2,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,100.0,100.0,2,2,0.994,0.0,-0.994,0.994,160,10,128,2000,0,2000,20000
2,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,100.0,100.0,4,3,0.973,0.0,-0.973,0.973,160,10,128,2000,0,2000,20000
2,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,100.0,100.0,3,4,0.992,0.992,0.0,0.0,160,10,128,2000,0,2000,20000
2,shuffle_2,2-3-0-4-1,no_replay,0,no_replay,PASS,0.0,0.0,2,0,0.994,0.0,-0.994,0.994,160,10,128,2000,0,2000,20000
2,shuffle_2,2-3-0-4-1,no_replay,0,no_replay,PASS,0.0,0.0,3,1,0.992,0.0,-0.992,0.992,160,10,128,2000,0,2000,20000
2,shuffle_2,2-3-0-4-1,no_replay,0,no_replay,PASS,0.0,0.0,0,2,1.0,0.0,-1.0,1.0,160,10,128,2000,0,2000,20000
2,shuffle_2,2-3-0-4-1,no_replay,0,no_replay,PASS,0.0,0.0,4,3,0.98,0.0,-0.98,0.98,160,10,128,2000,0,2000,20000
2,shuffle_2,2-3-0-4-1,no_replay,0,no_replay,PASS,0.0,0.0,1,4,0.974,0.974,0.0,0.0,160,10,128,2000,0,2000,20000
2,shuffle_2,2-3-0-4-1,experience_replay,100,er100,PASS,0.0,0.0,2,0,0.994,0.0,-0.994,0.994,160,10,128,2000,0,2000,20000
2,shuffle_2,2-3-0-4-1,experience_replay,100,er100,PASS,0.0,0.0,3,1,0.987,0.0,-0.987,0.987,170,10,128,2000,100,2100,21000
2,shuffle_2,2-3-0-4-1,experience_replay,100,er100,PASS,0.0,0.0,0,2,0.998,0.0,-0.998,0.998,170,10,128,2000,100,2100,21000
2,shuffle_2,2-3-0-4-1,experience_replay,100,er100,PASS,0.0,0.0,4,3,0.981,0.425,-0.556,0.556,170,10,128,2000,100,2100,21000
2,shuffle_2,2-3-0-4-1,experience_replay,100,er100,PASS,0.0,0.0,1,4,0.968,0.968,0.0,0.0,170,10,128,2000,100,2100,21000
2,shuffle_2,2-3-0-4-1,experience_replay,500,er500,PASS,0.0,0.0,2,0,0.994,0.024,-0.97,0.97,160,10,128,2000,0,2000,20000
